"Name","webname","first_name","last_name","job_title","job_title2","short_job_title","first_last_name","job_title_az"
"AHMAD, Isa","isa.ahmad18","Isa","AHMAD","Research Postgraduate",NA,"Mr","isa ahmad",NA
"ABBAS, Mohamed","m.abbas","Mohamed","ABBAS","Honorary Clinical Research Fellow","Dr Mohamed Abbas",NA,"mohamed abbas","Honorary Clinical Research Fellow"
"TANG, Sonja N","sonja.tang19","Sonja","TANG","Research Postgraduate","Sonja Ning Tang",NA,"sonja tang",NA
"HALLIGAN, Jack J","j.halligan","Jack","HALLIGAN","Honorary Research Fellow",NA,"Dr","jack halligan",NA
"KONSTANTINOUDIS, Garyfallos","g.konstantinoudis","Garyfallos","KONSTANTINOUDIS","MRC Skills Development Research Fellow",NA,"Dr","garyfallos konstantinoudis","MRC Skills Development Research Fellow"
"BHARMAL, Aamena","a.bharmal","Aamena","BHARMAL",NA,NA,NA,"aamena bharmal","Honorary Clinical Research Fellow"
"COOPER, Laura V","l.cooper","Laura","COOPER","Research Associate in Epidemiology","Dr Laura Cooper",NA,"laura cooper","Research Associate in Epidemiology"
"UZZELL, Christopher B","c.uzzell","Christopher","UZZELL","Research Associate",NA,"Dr","christopher uzzell","Research Associate"
"LEES, John A","j.lees","John","LEES","Visiting Researcher",NA,"Dr","john lees","Visiting Researcher"
"LAI, Heidi T M","h.lai","Heidi","LAI","Research Fellow",NA,"Dr","heidi lai","Research Fellow"
"BARRATT, Benjamin","b.barratt","Benjamin","BARRATT","Reader in Environmental Exposures & Public Health",NA,"Dr","benjamin barratt","Reader in Environmental Exposures & Public Health"
"GREEN, David","d.green","David","GREEN","Senior Research Fellow",NA,"Dr","david green","Senior Research Fellow"
"FULLER, Gary","g.fuller","Gary","FULLER","Senior Lecturer in Air Quality Measurement",NA,"Dr","gary fuller","Senior Lecturer in Air Quality Measurement"
"BARRON, Leon","leon.barron","Leon","BARRON","Reader in Analytical & Environmental Sciences",NA,"Dr","leon barron","Reader in Analytical & Environmental Sciences"
"BEEVERS, Sean","s.beevers","Sean","BEEVERS","Reader in Atmospheric modelling",NA,"Dr","sean beevers","Reader in Atmospheric modelling"
"MUDWAY, Ian","i.mudway","Ian","MUDWAY","Senior Lecturer",NA,"Dr","ian mudway","Senior Lecturer"
"WILLIAMS, Martin","martin.williams","Martin","WILLIAMS",NA,NA,NA,"martin williams",NA
"WRIGHT, Stephanie","s.wright19","Stephanie","WRIGHT","Lecturer in Environmental Toxicology",NA,"Dr","stephanie wright",NA
"KELLY, Frank","frank.kelly","Frank","KELLY","Battcock Chair in Community Health and Policy",NA,"Professor","frank kelly",NA
"TILEY, Katie","k.tiley","Katie","TILEY",NA,NA,NA,"katie tiley","Casual - GTA"
"GAINES, Allison","a.gaines20","Allison","GAINES","Research Postgraduate",NA,"Miss","allison gaines",NA
"TABCHE, Celine","c.tabche20","Celine","TABCHE","Teaching Fellow in Public Health","Celine Tabche",NA,"celine tabche","Teaching Fellow in Public Health"
"MARVIN, Vanessa","v.marvin","Vanessa","MARVIN",NA,NA,NA,"vanessa marvin","Honorary Research Officer"
"FAITNA, Puji","p.faitna","Puji","FAITNA","Research Assistant","Puji Faitna",NA,"puji faitna","Research Assistant"
"FORCHINI, Giovanni","g.forchini","Giovanni","FORCHINI",NA,NA,NA,"giovanni forchini","Visiting Professor"
"MEENA, Devendra","d.meena","Devendra","MEENA",NA,NA,NA,"devendra meena","Research Associate"
"WELDEGIORGIS, Misghina T","m.weldegiorgis","Misghina","WELDEGIORGIS","Research Associate, Population Health and Policy, Health Pro","Dr Misghina Weldegiorgis",NA,"misghina weldegiorgis","Research Associate, Population Health and Policy, Health Pro"
"FARIA, Nuno Miguel R P (Nuno)","n.faria","Nuno","FARIA","Reader in Viral Evolution","Dr Nuno R. Faria",NA,"nuno faria","Reader in Viral Evolution"
"DAJNAK, David","d.dajnak","David","DAJNAK","Deputy Head of ERG Modelling Group",NA,"Dr","david dajnak","Deputy Head of ERG Modelling Group"
"WALTON, Heather A","h.walton","Heather","WALTON","Senior Lecturer in Environmental Health",NA,"Dr","heather walton","Senior Lecturer in Environmental Health"
"VARADEN, Diana","diana.varaden","Diana","VARADEN","Lecturer in Environmental Social Science and Health",NA,"Dr","diana varaden","Lecturer in Environmental Social Science and Health"
"KATSOUYANNI, Eleni Kleanthi (Klea)","k.katsouyanni","Eleni","KATSOUYANNI","Professor of Public Health",NA,"Professor","eleni katsouyanni",NA
"KWOK, Wendy","w.kwok","Wendy","KWOK","Teaching Fellow in Public Health","Dr Wendy Kwok",NA,"wendy kwok",NA
"KYRIAKOS, Christina N","c.kyriakos20","Christina","KYRIAKOS","Research Postgraduate",NA,"Ms","christina kyriakos",NA
"ASSAREH, Nosha","n.assareh","Nosha","ASSAREH","Research Associate",NA,"Dr","nosha assareh","Research Associate"
"CRANDELL, Caroline E","c.crandell","Caroline","CRANDELL",NA,NA,NA,"caroline crandell",NA
"FUSSELL, Julia C","j.fussell","Julia","FUSSELL","Senior Research Fellow","Dr Julia Fussell",NA,"julia fussell","Senior Research Fellow"
"VUCKOVIC, Dragana","d.vuckovic","Dragana","VUCKOVIC","Lecturer in Computational Epidemiology and Biostatistics",NA,"Dr","dragana vuckovic","Lecturer in Computational Epidemiology and Biostatistics"
"SANDHU, Manjinder S","m.sandhu","Manjinder","SANDHU",NA,NA,NA,"manjinder sandhu","Chair in Population Health and Data Science"
