"Name","webname","first_name","last_name","job_title","job_title2","short_job_title","first_last_name","job_title_az"
"BELESOVA, Kristine","k.belesova","Kristine","BELESOVA","Senior Lecturer in Global Population Health",NA,"Dr","kristine belesova","Senior Lecturer in Global Population Health"
"KNIGHT, Laura J","laura.knight","Laura","KNIGHT","Teaching Fellow in Medical Education Research",NA,"Dr","laura knight","Teaching Fellow in Medical Education Research"
"TWUMASI, Clement","c.twumasi","Clement","TWUMASI","Clinical Trials Statistician",NA,"Dr","clement twumasi","Clinical Trials Statistician"
"GONCALVES, Judite","j.goncalves","Judite","GONCALVES","Lecturer in Global Health Systems Research","Dr Judite Gonçalves",NA,"judite goncalves","Lecturer in Global Health Systems Research"
"HAILE, Lydia M","l.haile","Lydia","HAILE","Technical Analyst",NA,"Miss","lydia haile","Technical Analyst"
"LIU, Yunzhe","yunzhe.liu","Yunzhe","LIU","Research Associate in Geospatial Data Analysis",NA,"Dr","yunzhe liu","Research Associate in Geospatial Data Analysis"
"MIRZA, Amnah","amnah.mirza","Amnah","MIRZA",NA,NA,NA,"amnah mirza","Clinical Trials Administrator"
"BEREGI, Sandor","s.beregi","Sandor","BEREGI","Research Associate",NA,"Dr","sandor beregi","Research Associate"
"MAIKORE, Ibrahim K","i.maikore","Ibrahim","MAIKORE",NA,NA,NA,"ibrahim maikore","Research Associate"
"NAIR, Pallavi","p.nair","Pallavi","NAIR",NA,NA,NA,"pallavi nair","Research Associate in Dementia Identification"
"CAMPBELL, Steven J","steven.campbell","Steven","CAMPBELL","Marie Curie Fellowship",NA,"Dr","steven campbell","Marie Curie Fellowship"
"KOLTAI, Mihaly","m.koltai","Mihaly","KOLTAI",NA,NA,NA,"mihaly koltai","Research Fellow in Mathematical Modelling of Tuberculosis Co"
